iter	RMSE
430	211.641696
431	211.5719911
432	211.3916155
433	211.2998227
434	211.22641
435	210.9809687
436	210.5753654
437	210.5251011
438	210.4359901
439	209.9155231
440	209.7807019
441	209.6648641
442	209.5368317
443	209.4887799
444	209.4570012
445	209.3081131
446	209.1999327
447	209.011524
448	208.8296501
449	208.6731134
450	208.5758937
451	208.4986727
452	208.4620646
453	208.3968078
454	208.2269149
455	208.1516271
456	207.8233121
457	207.7226398
458	207.1987477
459	207.0562352
460	207.0093752
461	206.9427608
462	206.7623635
463	206.7029892
464	206.5538073
465	206.3253877
466	205.744207
467	205.592575
468	205.4797518
469	205.4550891
470	205.2667934
471	205.1391072
472	205.1067272
473	204.535402
474	204.3409746
475	204.3198935
476	204.1470701
477	203.6457176
478	203.5432866
479	203.5131177
480	203.4942766
481	203.3573771
482	203.0988706
483	202.6411357
484	202.4924232
485	202.4750806
486	202.3588672
487	202.2051058
488	202.0489781
489	201.8118608
490	201.7283932
491	201.5794676
492	201.4859763
493	201.2667651
494	201.0925609
495	200.9449677
496	200.6314157
497	200.5587987
498	200.3502353
499	200.3051446
500	200.27784
501	200.2524931
502	200.106251
503	199.9893644
504	199.9543727
505	199.816902
506	199.7503361
507	199.648596
508	199.6175052
509	199.4795672
510	199.2881998
511	199.2051714
512	198.9219105
513	198.8995692
514	198.7339884
515	198.6664913
516	198.6194943
517	198.1607938
518	197.716959
519	197.6324716
520	197.5758381
521	197.2615398
522	197.1408349
523	197.0461437
524	197.0189715
525	196.8669852
526	196.7606826
527	196.5882811
528	196.3386179
529	196.2617303
530	196.2460659
531	196.1772891
532	196.0416847
533	195.9823342
534	195.7274204
535	195.4881368
536	195.3869004
537	195.3207195
538	195.2559305
539	195.1534898
540	195.0578022
541	194.8030644
542	194.5078853
543	194.3518156
544	194.2882295
545	194.1612572
546	194.0919187
547	193.9428323
548	193.8735908
549	193.769005
550	193.6945078
551	193.5795442
552	193.461446
553	193.4090234
554	193.3107698
555	193.2254165
556	193.1176932
557	193.0919191
558	193.0083472
559	192.9417602
560	192.8616455
561	192.7424887
562	192.6263948
563	192.3190935
564	191.8333293
565	191.6978284
566	191.6731147
567	191.6143563
568	191.5255665
569	191.4389743
570	191.3322691
571	191.0906049
572	191.0334942
573	190.9496504
574	190.7143858
575	190.6064811
576	190.3824109
577	190.2613637
578	190.1150493
579	190.0601593
580	189.6468632
581	189.4933836
582	189.4026767
583	189.2407812
584	189.0985993
585	188.9732365
586	188.949879
587	188.7962208
588	188.6910072
589	188.6118263
590	188.5413542
591	188.4468938
592	188.3298611
593	188.3235946
594	188.2084281
595	188.1072333
596	187.9744188
597	187.9079256
598	187.4750193
599	187.3641814
600	187.3524801
601	187.272069
602	187.1539227
603	187.081894
604	186.9950565
605	186.9750592
606	186.8482644
607	186.7435463
608	186.6636584
609	186.5361915
610	186.4708772
611	186.4062623
612	186.1260876
613	186.1019707
614	185.9071742
615	185.8278556
616	185.7781432
617	185.4034366
618	185.3538235
619	185.2316728
620	185.1634906
621	184.9154184
622	184.821412
623	184.7779059
624	184.7447904
625	184.6574264
626	184.6097211
627	184.5644313
628	184.5324035
629	184.5162857
630	184.3200631
631	184.2635403
632	184.2050544
633	184.0096594
634	183.9375613
635	183.8799399
636	183.6810437
637	183.6200426
638	183.5787086
639	183.5142463
640	183.0958968
641	182.9057527
642	182.504439
643	182.1669117
644	181.7884254
645	181.6885757
646	181.6113194
647	181.5611015
648	181.463032
649	181.4399211
650	181.4058749
651	181.3899339
652	181.3476115
653	180.9617764
654	180.9511379
655	180.9346356
656	180.8780303
657	180.7569932
658	180.5157164
659	180.4502922
660	180.3785546
661	180.2570059
662	180.2010276
663	180.1248139
664	180.0712662
665	179.9627692
666	179.9063994
667	179.6836733
668	179.4754396
669	179.3745759
670	179.2822878
671	179.2085177
672	179.0853781
673	179.0488951
674	178.9482992
675	178.9297586
676	178.9088638
677	178.6114805
678	178.2857329
679	178.2215894
680	178.1700335
681	178.0618973
682	178.0468095
683	178.0024099
684	177.8792109
685	177.8133503
686	177.6976811
687	177.6237996
688	177.5687668
689	177.4933382
690	177.426181
691	177.3506158
692	177.003785
693	176.9646407
694	176.6851202
695	176.6177454
696	176.5021689
697	176.3850726
698	176.2188471
699	176.1476131
700	175.8358381
701	175.7682916
702	175.7341014
703	175.6857793
704	175.6350329
705	175.5260651
706	175.5165415
707	175.2542199
708	175.1626701
709	175.1538883
710	174.9401079
711	174.9244142
712	174.8701407
713	174.7723594
714	174.7244016
715	174.6533299
716	174.6451992
717	174.6008039
718	174.5419275
719	174.4577675
720	174.3659409
721	174.2606179
722	174.1712429
723	173.9778466
724	173.6982156
725	173.6387008
726	173.5760261
727	173.5161328
728	173.2216346
729	173.1524581
730	173.0048852
731	172.845607
732	172.7814122
733	172.7262931
734	172.6139389
735	172.5661114
736	172.4614987
737	172.4067547
738	172.2269457
739	172.0707436
740	172.0097123
741	171.9316586
742	171.8637183
743	171.7793567
744	171.7422358
745	171.6770889
746	171.6028922
747	171.5128196
748	171.4612617
749	171.4023662
750	171.3536833
751	171.2381368
752	171.1503569
753	171.1116716
754	171.1040673
755	171.0556246
756	170.8386921
757	170.7876104
758	170.625672
759	170.5856591
760	170.5043386
761	170.4561288
762	170.4022958
763	170.3615255
764	170.3544858
765	170.2867213
766	170.2644341
767	170.0750323
768	169.9806687
769	169.9778218
770	169.9668957
771	169.9223908
772	169.9005139
773	169.8454671
774	169.8083749
775	169.7858909
776	169.7332709
777	169.6971681
778	169.5859708
779	169.5653777
780	169.5480889
781	169.4658104
782	169.2899721
783	169.2838014
784	169.2382987
785	169.1953478
786	169.1288626
787	169.0921156
788	169.0128043
789	168.9214581
790	168.7778702
791	168.7091123
792	168.6347655
793	168.5687084
794	168.486457
795	168.3928911
796	168.3675786
797	168.3033287
798	168.1696804
799	168.0988747
800	168.0165049
801	167.9537402
802	167.903209
803	167.8551314
804	167.5836138
805	167.5381393
806	167.5326337
807	167.2624515
808	167.211396
809	167.2055614
810	167.0713115
811	167.0104098
812	166.9917008
813	166.923079
814	166.8653221
815	166.7805951
816	166.6025382
817	166.5382773
818	166.5326673
819	166.4415108
820	166.4208957
821	166.2989416
822	166.2138182
823	166.0110354
824	165.9524632
825	165.8901469
826	165.8848567
827	165.7468008
828	165.6930376
829	165.6215218
830	165.6080028
831	165.5369021
832	165.4409347
833	165.3436566
834	165.277347
835	165.2396204
836	165.1563335
837	165.1053629
838	165.0652434
839	165.0133895
840	164.9230222
841	164.858849
842	164.7915531
843	164.757804
844	164.6844112
845	164.6417986
846	164.537168
847	164.4908312
848	164.405741
849	164.3380858
850	164.2710242
851	164.2320918
852	164.2113595
853	163.9922987
854	163.9224998
855	163.8542954
856	163.7869087
857	163.7495439
858	163.6734677
859	163.6526726
860	163.5785703
861	163.3876778
862	163.3638884
863	163.2734754
864	163.2175385
865	163.1734133
866	163.1351358
867	163.0576096
868	162.9724285
869	162.922477
870	162.85725
871	162.6601611
872	162.6260502
873	162.5976804
874	162.5414676
875	162.3549739
876	162.3036086
877	162.3012654
878	162.2225737
879	162.1813303
880	162.1315538
881	161.97193
882	161.9318135
883	161.8975139
884	161.8170523
885	161.7501656
886	161.5867673
887	161.5501992
888	161.4934817
889	161.4534029
890	161.4492218
891	161.3745915
892	161.3308454
893	161.285038
894	161.1832633
895	161.1564029
896	161.1330297
897	161.0811048
898	160.911123
899	160.8533731
900	160.8086688
901	160.7666981
902	160.7168423
903	160.6563389
904	160.6351096
905	160.5553268
906	160.494617
907	160.4241619
908	160.3875682
909	160.3268837
910	160.3039939
911	160.2687974
912	160.2119423
913	160.1090589
914	160.005403
915	159.9424939
916	159.7908819
917	159.7436748
918	159.599474
919	159.5652038
920	159.5329488
921	159.5030692
922	159.4578548
923	159.371471
924	159.3325143
925	159.2166126
926	159.1697743
927	159.1375985
928	159.0987359
929	159.0495266
930	158.9993022
931	158.9855096
932	158.9128911
933	158.8933486
934	158.8740962
935	158.8077712
936	158.7687861
937	158.6151414
938	158.4755584
939	158.4238671
940	158.3862867
941	158.3472955
942	158.315508
943	158.2399114
944	158.109247
945	158.0215301
946	157.9815001
947	157.9464052
948	157.8971087
949	157.7968079
950	157.7666401
951	157.6965296
952	157.6650457
953	157.6357805
954	157.5915692
955	157.4060193
956	157.3718121
957	157.2652381
958	157.1824276
959	157.0453665
960	156.9525012
961	156.9252845
962	156.8886695
963	156.8632412
964	156.7893895
965	156.7217716
966	156.6719833
967	156.538148
968	156.5015994
969	156.4526924
970	156.4387192
971	156.2912299
972	156.2576943
973	156.2388899
974	156.2216344
975	156.1612347
976	156.1270098
977	156.0546293
978	156.0448564
979	155.987727
980	155.9452256
981	155.7898557
982	155.7567847
983	155.7407705
984	155.7104319
985	155.6677211
986	155.6018781
987	155.5629471
988	155.4401365
989	155.3442384
990	155.2938535
991	155.1486224
992	155.0182924
993	155.0123026
994	154.9853904
995	154.9440066
996	154.8535371
997	154.7849085
998	154.7113416
999	154.5702362
