iter	Passed	Remaining
184	549	2420
185	551	2415
186	555	2413
187	556	2403
188	558	2396
189	559	2386
190	561	2378
191	565	2377
192	568	2375
193	571	2373
194	574	2370
195	576	2365
196	580	2367
197	583	2364
198	586	2359
199	588	2355
200	591	2351
201	595	2352
202	598	2349
203	601	2346
204	604	2345
205	607	2343
206	611	2340
207	614	2338
208	618	2339
209	621	2337
210	624	2334
211	626	2330
212	630	2330
213	634	2328
214	636	2325
215	639	2321
216	642	2319
217	646	2319
218	649	2316
219	652	2314
220	655	2311
221	658	2307
222	661	2304
223	663	2300
224	666	2296
225	669	2294
226	672	2290
227	675	2287
228	678	2282
229	680	2279
230	683	2276
231	686	2272
232	689	2270
233	694	2272
234	697	2269
235	700	2266
236	703	2264
237	706	2260
238	710	2262
239	713	2259
240	716	2256
241	720	2255
242	723	2255
243	726	2251
244	729	2248
245	732	2244
246	735	2241
247	738	2238
248	740	2234
249	743	2230
250	746	2226
251	748	2223
252	751	2219
253	754	2215
254	758	2215
255	761	2212
256	764	2210
257	767	2208
258	771	2206
259	775	2206
260	778	2203
261	781	2199
262	783	2195
263	786	2193
264	791	2194
265	794	2191
266	797	2190
267	800	2186
268	804	2186
269	808	2185
270	811	2182
271	815	2181
272	818	2178
273	824	2184
274	827	2182
275	830	2178
276	833	2174
277	837	2175
278	841	2174
279	845	2173
280	848	2170
281	850	2166
282	854	2164
283	857	2160
284	859	2156
285	862	2152
286	865	2150
287	868	2147
288	871	2143
289	874	2141
290	877	2136
291	879	2133
292	882	2129
293	886	2129
294	889	2126
295	892	2122
296	895	2119
297	898	2116
298	902	2116
299	905	2113
300	908	2110
301	912	2109
302	915	2105
303	918	2102
304	920	2097
305	923	2094
306	926	2091
307	929	2088
308	932	2086
309	935	2082
310	938	2078
311	941	2075
312	943	2071
313	946	2067
314	950	2066
315	953	2063
316	956	2061
317	959	2058
318	962	2055
319	966	2053
320	969	2051
321	972	2048
322	975	2044
323	978	2041
324	983	2041
325	985	2038
326	989	2035
327	992	2032
328	994	2028
329	998	2026
330	1001	2023
331	1003	2019
332	1006	2016
333	1009	2012
334	1012	2009
335	1016	2008
336	1018	2004
337	1021	2001
338	1024	1997
339	1027	1994
340	1031	1993
341	1035	1991
342	1037	1987
343	1040	1984
344	1043	1981
345	1046	1977
346	1048	1973
347	1051	1969
348	1054	1966
349	1057	1963
350	1059	1959
351	1062	1956
352	1065	1952
353	1068	1949
354	1070	1945
355	1074	1943
356	1077	1939
357	1081	1939
358	1084	1936
359	1087	1933
360	1090	1929
361	1094	1929
362	1097	1925
363	1100	1922
364	1103	1920
365	1106	1916
366	1109	1913
367	1112	1910
368	1115	1907
369	1117	1903
370	1120	1899
371	1123	1896
372	1126	1893
373	1128	1889
374	1132	1886
375	1134	1882
376	1137	1879
377	1139	1875
378	1143	1873
379	1146	1870
380	1149	1867
381	1152	1864
382	1155	1861
383	1159	1860
384	1162	1857
385	1165	1854
386	1168	1850
387	1171	1848
388	1176	1847
389	1182	1848
390	1185	1846
391	1188	1842
392	1192	1841
393	1194	1837
394	1197	1834
395	1200	1830
396	1202	1826
397	1208	1827
398	1211	1825
399	1215	1822
400	1218	1820
401	1223	1819
402	1226	1816
403	1231	1816
404	1234	1813
405	1236	1809
406	1240	1806
407	1242	1803
408	1245	1799
409	1248	1796
410	1251	1792
411	1254	1789
412	1256	1786
413	1259	1782
414	1262	1779
415	1264	1775
416	1267	1772
417	1271	1771
418	1274	1767
419	1277	1764
420	1284	1766
421	1291	1769
422	1295	1766
423	1299	1765
424	1303	1763
425	1306	1760
426	1311	1759
427	1313	1755
428	1316	1752
429	1320	1750
430	1322	1746
431	1325	1742
432	1328	1739
433	1331	1736
434	1334	1732
435	1338	1731
436	1341	1728
437	1344	1725
438	1347	1721
439	1349	1717
440	1353	1715
441	1356	1712
442	1359	1709
443	1361	1705
444	1364	1701
445	1369	1700
446	1372	1698
447	1377	1696
448	1381	1694
449	1384	1692
450	1387	1688
451	1390	1685
452	1392	1681
453	1395	1678
454	1398	1675
455	1402	1672
456	1405	1669
457	1408	1666
458	1410	1662
459	1416	1662
460	1419	1659
461	1422	1656
462	1425	1653
463	1428	1650
464	1431	1647
465	1434	1644
466	1437	1640
467	1440	1637
468	1443	1634
469	1445	1630
470	1448	1627
471	1451	1624
472	1454	1620
473	1457	1617
474	1460	1614
475	1464	1611
476	1467	1608
477	1470	1605
478	1473	1602
479	1476	1599
480	1478	1595
481	1482	1593
482	1485	1589
483	1488	1587
484	1492	1584
485	1494	1580
486	1497	1577
487	1500	1574
488	1503	1571
489	1506	1567
490	1509	1564
491	1512	1561
492	1515	1558
493	1518	1554
494	1521	1552
495	1524	1548
496	1527	1545
497	1530	1543
498	1534	1540
499	1537	1537
500	1540	1534
501	1542	1530
502	1546	1527
503	1549	1524
504	1554	1523
505	1557	1520
506	1562	1518
507	1565	1515
508	1568	1512
509	1572	1510
510	1576	1508
511	1579	1505
512	1582	1501
513	1584	1498
514	1587	1494
515	1590	1491
516	1594	1489
517	1597	1486
518	1600	1483
519	1603	1480
520	1606	1476
521	1611	1476
522	1615	1473
523	1618	1470
524	1621	1467
525	1628	1467
526	1631	1464
527	1634	1461
528	1638	1459
529	1645	1459
530	1650	1457
531	1653	1454
532	1660	1454
533	1664	1452
534	1669	1451
535	1674	1449
536	1679	1448
537	1683	1445
538	1687	1443
539	1697	1445
540	1700	1442
541	1703	1439
542	1715	1443
543	1718	1440
544	1730	1444
545	1735	1443
546	1739	1440
547	1744	1438
548	1750	1438
549	1760	1440
550	1764	1437
551	1767	1434
552	1779	1438
553	1782	1434
554	1787	1433
555	1796	1434
556	1799	1431
557	1811	1435
558	1815	1432
559	1828	1436
560	1831	1433
561	1841	1435
562	1846	1432
563	1848	1429
564	1858	1430
565	1862	1428
566	1865	1424
567	1876	1427
568	1879	1423
569	1882	1420
570	1891	1421
571	1894	1417
572	1897	1414
573	1912	1419
574	1915	1415
575	1926	1418
576	1929	1414
577	1939	1416
578	1943	1413
579	1946	1409
580	1956	1411
581	1960	1408
582	1963	1404
583	1974	1406
584	1977	1402
585	1982	1400
586	1991	1400
587	1994	1397
588	2004	1398
589	2009	1396
590	2011	1392
591	2022	1394
592	2026	1390
593	2028	1386
594	2037	1387
595	2041	1383
596	2051	1384
597	2056	1382
598	2059	1378
599	2072	1381
600	2075	1377
601	2085	1378
602	2089	1375
603	2092	1371
604	2104	1373
605	2106	1369
606	2111	1366
607	2121	1368
608	2124	1364
609	2137	1366
610	2140	1363
611	2153	1365
612	2156	1361
613	2166	1361
614	2171	1359
615	2173	1354
616	2181	1354
617	2188	1352
618	2197	1352
619	2201	1349
620	2204	1345
621	2217	1347
622	2220	1343
623	2231	1344
624	2234	1340
625	2237	1336
626	2247	1337
627	2251	1333
628	2256	1330
629	2265	1330
630	2267	1326
631	2271	1322
632	2279	1321
633	2283	1318
634	2286	1314
635	2294	1313
636	2299	1310
637	2302	1306
638	2306	1303
639	2315	1302
640	2323	1301
641	2326	1297
642	2331	1294
643	2337	1292
644	2341	1288
645	2345	1285
646	2348	1281
647	2351	1277
648	2366	1280
649	2377	1280
650	2382	1277
651	2387	1274
652	2393	1271
653	2396	1268
654	2399	1263
655	2407	1262
656	2413	1259
657	2416	1255
658	2426	1255
659	2430	1251
660	2433	1247
661	2443	1247
662	2446	1243
663	2449	1239
664	2455	1236
665	2459	1233
666	2462	1229
667	2464	1225
668	2468	1221
669	2471	1217
670	2473	1212
671	2476	1208
672	2479	1204
673	2482	1200
674	2488	1198
675	2492	1194
676	2494	1190
677	2499	1187
678	2504	1183
679	2508	1180
680	2510	1176
681	2513	1172
682	2518	1168
683	2522	1165
684	2526	1161
685	2529	1157
686	2535	1155
687	2539	1151
688	2542	1147
689	2545	1143
690	2549	1139
691	2551	1135
692	2554	1131
693	2557	1127
694	2560	1123
695	2567	1121
696	2569	1117
697	2572	1113
698	2576	1109
699	2581	1106
700	2585	1102
701	2588	1098
702	2591	1094
703	2595	1091
704	2597	1087
705	2601	1083
706	2603	1078
707	2606	1074
708	2609	1070
709	2611	1066
710	2614	1062
711	2617	1058
712	2620	1054
713	2623	1050
714	2626	1046
715	2631	1043
716	2633	1039
717	2636	1035
718	2639	1031
719	2643	1028
720	2647	1024
721	2650	1020
722	2654	1016
723	2657	1012
724	2660	1009
725	2663	1005
726	2666	1001
727	2669	997
728	2672	993
729	2675	989
730	2678	985
731	2681	981
732	2684	977
733	2687	973
734	2690	970
735	2694	966
736	2698	962
737	2701	959
738	2704	955
739	2708	951
740	2712	947
741	2714	943
742	2717	940
743	2721	936
744	2725	932
745	2728	928
746	2731	925
747	2735	921
748	2737	917
749	2741	913
750	2744	909
751	2746	905
752	2750	902
753	2752	898
754	2754	893
755	2759	890
756	2762	886
757	2765	882
758	2768	879
759	2773	875
760	2776	872
761	2780	868
762	2783	864
763	2786	860
764	2788	856
765	2791	852
766	2793	848
767	2797	845
768	2800	841
769	2802	837
770	2805	833
771	2808	829
772	2810	825
773	2814	821
774	2816	817
775	2820	814
776	2825	810
777	2828	807
778	2831	803
779	2834	799
780	2840	796
781	2843	792
782	2846	788
783	2849	785
784	2854	781
785	2857	777
786	2860	774
787	2863	770
788	2866	766
789	2869	762
790	2871	758
791	2875	755
792	2877	751
793	2881	747
794	2884	743
795	2888	740
796	2891	736
797	2894	732
798	2897	728
799	2901	725
800	2905	721
801	2908	717
802	2911	714
803	2914	710
804	2918	707
805	2921	703
806	2925	699
807	2928	695
808	2931	692
809	2934	688
810	2937	684
811	2939	680
812	2942	676
813	2945	673
814	2948	669
815	2952	665
816	2955	662
817	2958	658
818	2961	654
819	2966	651
820	2969	647
821	2973	643
822	2976	640
823	2978	636
824	2982	632
825	2985	628
826	2987	624
827	2990	621
828	2993	617
829	2996	613
830	2998	609
831	3002	606
832	3005	602
833	3008	598
834	3011	595
835	3015	591
836	3018	587
837	3021	584
838	3023	580
839	3026	576
840	3031	573
841	3034	569
842	3037	565
843	3040	561
844	3043	558
845	3046	554
846	3050	550
847	3052	547
848	3055	543
849	3059	539
850	3061	536
851	3064	532
852	3067	528
853	3070	524
854	3073	521
855	3076	517
856	3080	513
857	3083	510
858	3087	506
859	3089	503
860	3093	499
861	3097	495
862	3100	492
863	3103	488
864	3106	484
865	3110	481
866	3113	477
867	3117	474
868	3120	470
869	3123	466
870	3126	463
871	3129	459
872	3132	455
873	3135	451
874	3138	448
875	3142	444
876	3146	441
877	3148	437
878	3151	433
879	3154	430
880	3159	426
881	3162	423
882	3165	419
883	3168	415
884	3171	412
885	3174	408
886	3177	404
887	3180	401
888	3183	397
889	3186	393
890	3189	390
891	3192	386
892	3195	382
893	3197	379
894	3200	375
895	3203	371
896	3208	368
897	3212	364
898	3214	361
899	3217	357
900	3222	354
901	3225	350
902	3228	346
903	3232	343
904	3234	339
905	3237	335
906	3241	332
907	3243	328
908	3246	325
909	3249	321
910	3252	317
911	3254	314
912	3257	310
913	3260	306
914	3263	303
915	3266	299
916	3269	295
917	3272	292
918	3276	288
919	3279	285
920	3281	281
921	3284	277
922	3288	274
923	3291	270
924	3294	267
925	3297	263
926	3300	259
927	3304	256
928	3307	252
929	3310	249
930	3313	245
931	3316	241
932	3319	238
933	3322	234
934	3324	231
935	3327	227
936	3333	224
937	3337	220
938	3340	217
939	3343	213
940	3347	209
941	3351	206
942	3354	202
943	3357	199
944	3360	195
945	3363	192
946	3367	188
947	3369	184
948	3372	181
949	3375	177
950	3378	174
951	3381	170
952	3384	166
953	3387	163
954	3390	159
955	3393	156
956	3396	152
957	3400	149
958	3403	145
959	3407	141
960	3409	138
961	3412	134
962	3416	131
963	3419	127
964	3422	124
965	3426	120
966	3430	117
967	3433	113
968	3436	109
969	3439	106
970	3441	102
971	3445	99
972	3448	95
973	3450	92
974	3453	88
975	3456	84
976	3459	81
977	3461	77
978	3465	74
979	3468	70
980	3471	67
981	3475	63
982	3478	60
983	3482	56
984	3485	53
985	3488	49
986	3490	45
987	3494	42
988	3497	38
989	3502	35
990	3507	31
991	3511	28
992	3514	24
993	3516	21
994	3519	17
995	3522	14
996	3525	10
997	3529	7
998	3533	3
999	3536	0
